os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_20000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,os_20000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_20000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q,sloan_20000_iters_eps_q
0.001049801333332212,0.0005220594999997274,0.00010360216666605027,2.5153999999361076e-05,1.1872900000375886e-06,6.170333333721523e-07,1.0044999998459758e-07,1.926666665097443e-08,8.648768333330281e-05,3.07508333339257e-05,1.0207333334122382e-05,0.0,1.726515333333456e-05,8.181833333065214e-07,3.670000003896945e-08,0.0
0.0010494793333304386,0.0005218243333313666,0.0001035729999987467,2.5147333332142807e-05,1.1877933333570567e-06,6.175333333580113e-07,1.004999999887346e-07,1.926666670648558e-08,8.662189999775194e-05,3.0806333334965075e-05,1.020066666868047e-05,0.0,1.726561333331711e-05,8.183666666550238e-07,3.6666666702878103e-08,0.0
0.0010491473333313905,0.000521579166665731,0.00010353383333239208,2.513733333309176e-05,1.1883633333487076e-06,6.18100000016053e-07,1.0061666666505431e-07,1.933333332315712e-08,8.674611666492638e-05,3.08718333350555e-05,1.0204000000513247e-05,0.0,1.7266006666682987e-05,8.186166666757089e-07,3.66999999834583e-08,0.0
0.001048805333331515,0.000521323999999268,0.00010348466666698641,2.5127333332264357e-05,1.1889333333403584e-06,6.186666666740948e-07,1.0073333328586287e-07,1.933333326764597e-08,8.686033333127341e-05,3.094733333419697e-05,1.0217333333173428e-05,0.0,1.7266399999993354e-05,8.188666666408828e-07,3.6733333319549644e-08,0.0
0.0010484566666661976,0.0005212341666656073,0.00010346383333370568,2.5116666666491483e-05,1.1895033333875205e-06,6.186566667287785e-07,1.0071666667332835e-07,1.933333337866827e-08,8.696788333217853e-05,3.085853333395505e-05,1.0203166667110963e-05,0.0,1.726679333330372e-05,8.185366666690896e-07,3.6666666702878103e-08,0.0
0.0010480979999982765,0.0005211343333311191,0.00010343299999782118,2.5106666663887722e-05,1.190140000051354e-06,6.187133333446226e-07,1.0076666662195422e-07,1.933333337866827e-08,8.706543333047989e-05,3.077973333454054e-05,1.0199000001875902e-05,0.0,1.7267119999997416e-05,8.18273333313968e-07,3.666666664736695e-08,0.0
0.0010477326666666897,0.0005210278333329654,0.00010339549999827113,2.509933333350034e-05,1.1907766667151876e-06,6.187700000714891e-07,1.0081666668160238e-07,1.933333337866827e-08,8.71563166651157e-05,3.0707600000567936e-05,1.0201500000306396e-05,0.0,1.72674466666356e-05,8.180100000143575e-07,3.6666666702878103e-08,0.0
0.0010473573333324993,0.000520911333332208,0.00010334799999789368,2.5085333332341975e-05,1.1914799999956927e-06,6.188933333040048e-07,1.0093333330241094e-07,1.9399999995339812e-08,8.72371999989241e-05,3.064546666742274e-05,1.021400000134065e-05,0.0,1.7267706666712623e-05,8.178133332759074e-07,3.6733333319549644e-08,0.0
0.0010469759999978123,0.000520788833330954,0.00010332783333133477,2.5080000000343716e-05,1.192183333331709e-06,6.190166666475427e-07,1.0093333330241094e-07,1.939999993982866e-08,8.73120833304597e-05,3.058933333477398e-05,1.0198333336930432e-05,0.0,1.7267966666678625e-05,8.176166665929685e-07,3.666666664736695e-08,0.0
0.001046583333332407,0.0005206549999989818,0.00010329633333405752,2.5069333334570842e-05,1.192953333395419e-06,6.192066667187746e-07,1.0099999997459363e-07,1.9400000050850963e-08,8.737563333127696e-05,3.054453333284357e-05,1.01940000014622e-05,0.0,1.7268159999972443e-05,8.174866666932346e-07,3.666666664736695e-08,0.0
0.0010461813333328962,0.000520511833332904,0.00010325550000089834,2.5062666665576216e-05,1.1937233333481068e-06,6.193966666789841e-07,1.0106666664677633e-07,1.9466666723033654e-08,8.7429849999765e-05,3.0509066665018736e-05,1.0199000000099545e-05,0.0,1.7268353333321773e-05,8.173566666824783e-07,3.666666664736695e-08,0.0
0.0010457726666679434,0.0005203620000013842,0.0001032080000040736,2.5052666668301526e-05,1.1944933333563057e-06,6.195866666947047e-07,1.0113333331895902e-07,1.9399999995339812e-08,8.747740000103477e-05,3.048026666441217e-05,1.021066666595516e-05,0.0,1.7268546666671103e-05,8.172266666717221e-07,3.666666664736695e-08,0.0
0.0010453573333322197,0.0005202054999973171,0.0001031886666655879,2.5045333330808717e-05,1.1953300000366873e-06,6.19843333327097e-07,1.0114999998700469e-07,1.9466666667522503e-08,8.75182833297572e-05,3.0458133334576587e-05,1.0194000003238557e-05,0.0,1.726867333329274e-05,8.171633333331485e-07,3.6633333311275607e-08,0.0
0.001044932666665943,0.0005200396666644735,0.0001031599999983257,2.5036666665201324e-05,1.1962333333892516e-06,6.20166666687183e-07,1.0123333332723305e-07,1.9533333339705194e-08,8.754983333147948e-05,3.044533333351751e-05,1.0186666669298461e-05,0.0,1.7268733333297703e-05,8.171666666667576e-07,3.666666664736695e-08,0.0
0.0010444973333321173,0.0005198631666658571,0.00010312066666529063,2.5025999997652093e-05,1.1970700000141221e-06,6.204233333750864e-07,1.0124999999527873e-07,1.9466666667522503e-08,8.757071666387617e-05,3.0443200000007664e-05,1.0190000002907595e-05,0.0,1.726885999997485e-05,8.171033333281841e-07,3.6633333311275607e-08,0.0
0.0010440513333325185,0.0005196759999996914,0.00010307066666470632,2.501533333187922e-05,1.198039999983358e-06,6.208133332963328e-07,1.0139999995217863e-07,1.9533333284194043e-08,8.758093333049999e-05,3.0451733332270692e-05,1.0204000002289604e-05,0.0,1.7268853333363143e-05,8.171733332784648e-07,3.673333326403849e-08,0.0
0.0010436026666678089,0.0005194861666684147,0.00010305150000000651,2.5008666668213664e-05,1.1989433333359223e-06,6.211366666564189e-07,1.0138333328413296e-07,1.9533333339705194e-08,8.758848333378921e-05,3.0462933331421027e-05,1.0187333334243931e-05,0.0,1.7268913333368108e-05,8.171766666120739e-07,3.664999992381013e-08,0.0
0.0010431406666668863,0.0005192830000009252,0.00010301900000087016,2.499866666738626e-05,1.1999133333606693e-06,6.215266666331765e-07,1.0143333334378113e-07,1.9533333284194043e-08,8.758269999908919e-05,3.04874666650079e-05,1.0184000000634796e-05,0.0,1.726890666664538e-05,8.172466666178657e-07,3.6633333311275607e-08,0.0
0.0010426719999987455,0.0005190731666662174,0.00010297983333451555,2.4988666666558856e-05,1.2009500000020878e-06,6.219833333376279e-07,1.0155000002010084e-07,1.9600000011887886e-08,8.757024999717089e-05,3.0518666665813043e-05,1.0187333334243931e-05,0.0,1.7268833333305977e-05,8.173833333513514e-07,3.6683333315412625e-08,0.0
